season,week,matchup_id,is_playoff,is_consolation,home_team_id,home_team_name,home_score,away_team_id,away_team_name,away_score,winner,margin,home_owner_name,away_owner_name,home_owner_slug,away_owner_slug
2023,20,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,21,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,21,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,21,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,21,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,21,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,22,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,22,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,22,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,22,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,22,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,23,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,23,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,23,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,23,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,23,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,24,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,24,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,24,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,24,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,24,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,25,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,25,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,25,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,25,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,25,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,26,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,26,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,26,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,26,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,26,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,27,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,27,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,27,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,27,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,27,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,28,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,28,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,28,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,28,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,28,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,29,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,29,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,29,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,29,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,29,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,30,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,30,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,30,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,30,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,30,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,31,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,31,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,31,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,31,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,31,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,32,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
